Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
2019-HWC-0082-SKSFU-0036,2019-10-02,Saskatchewan South Field Unit,Grasslands National Park of Canada,Domestic Animal,Domestic Cattle,1,,,,,,,
2019-HWC-0321-ENFU-0003,2019-10-02,Newfoundland East Field Unit,Terra Nova National Park of Canada,Human Wildlife Interaction,Moose,1,,,,,,,
2019-HWC-0446-JASFU-0114,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,6,,,,,,,
2019-HWC-0446-JASFU-0114,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0446-JASFU-0115,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Wolf,1,,,Curious,Habituation,,,
2019-HWC-0519-CBCFU-0033,2019-10-02,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Unknown,Unknown,Noise - Voice,Indifferent
2019-HWC-0571-WATFU-0035,2019-10-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Wildlife Sighting,Black Bear,1,,,,,,,
2019-HWC-0590-WATFU-0030,2019-10-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Management Intervention,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Food Conditioned,Human food,Impact - Chalkball,Retreat - Walk
2019-HWC-0590-WATFU-0031,2019-10-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Contact-Property,Food Reward,Human food,Presence of Officer/Person,Retreat - Walk
2019-HWC-0590-WATFU-0032,2019-10-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Management Intervention,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Food Conditioned,Human food,Impact - Chalkball,Retreat - Walk
2020-HWC-0833-NPRFU-0007,2019-10-02,Northern Prairies Field Unit,Elk Island National Park of Canada,Human Wildlife Interaction,Plains Bison,1,,,,,,,
2020-HWC-0833-NPRFU-0008,2019-10-02,Northern Prairies Field Unit,Elk Island National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,3,,,,,,,
2020-HWC-0833-NPRFU-0008,2019-10-02,Northern Prairies Field Unit,Elk Island National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Healthy,Entangle-Entrapment,,,,,
2019-HWC-0000-BANFU-1759,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,50,,,,,,,
2019-HWC-0000-BANFU-1759,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,Domestic grass,Non-impact - Chalkball,
2019-HWC-0000-BANFU-1760,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,5,,,,,,,
2019-HWC-0000-BANFU-1760,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Unaware,,Vegetation (natural),Not Applicable,
