Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
2022-HWC-0000-JASFU-1879,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,6,,,,,,,
2022-HWC-0000-JASFU-1879,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,1,,,Indifferent to People/Vehicles,,Vegetation (natural),Noise - Clapping,Retreat - Walk
2022-HWC-0000-JASFU-1880,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,,,,,
2022-HWC-0000-JASFU-1880,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1881,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-0000-JASFU-1882,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Contact-Property,Food Reward,Unknown,,
2022-HWC-0000-JASFU-1883,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,2,,,,,,,
2022-HWC-0000-JASFU-1883,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1884,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,Vegetation (natural),,
2022-HWC-0000-JASFU-1885,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1886,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1887,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,15,,,,,,,
2022-HWC-0000-JASFU-1887,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,,Vegetation (natural),Visual - Flagging or stick,Retreat - Run
2022-HWC-0000-JASFU-1888,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,,,,,,,
2022-HWC-0000-JASFU-1888,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,,Domestic grass,,
2022-HWC-0000-JASFU-1889,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1890,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,Habituation,Domestic grass,,
2022-HWC-0000-JASFU-1891,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,8,,,,,,,
2022-HWC-0000-JASFU-1891,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-0000-JASFU-1892,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Crow,1,Dead,Collision,,,,,
2022-HWC-0000-JASFU-1893,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,,Domestic grass,,
2022-HWC-0000-JASFU-1894,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,9,,,,,,,
2022-HWC-0000-JASFU-1894,2022-07-01,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-YKLLFU-0700,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
2022-HWC-0000-YKLLFU-0703,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-0000-YKLLFU-0708,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,2,,,Indifferent to People/Vehicles,,,Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-YKLLFU-0708,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,,Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-YKLLFU-0714,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Rescued/Recovered/Found Wildlife,Wolf,3,Not Located,Collision,,,,,
2022-HWC-0594-WATFU-0031,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Mule Deer,1,,,Intense Staring,Defence of Young,,Noise - Clapping,Retreat - Walk
2022-HWC-0594-WATFU-0033,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Clapping,Retreat - Walk
2022-HWC-0594-WATFU-0034,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Unknown,Vegetation (natural),Presence of Officer/Person,Retreat - Walk
2022-HWC-0594-WATFU-0035,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Clapping,Retreat - Walk
2022-HWC-0594-WATFU-0036,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,Retreat - Walk
2022-HWC-0594-WATFU-0037,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Unknown,,Indifferent to People/Vehicles,Unknown,Vegetation (natural),Impact - Rubber,Retreat - Run
2022-HWC-0594-WATFU-0038,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Siren,Retreat - Walk
2022-HWC-0936-NPRFU-0007,2022-07-01,Northern Prairies Field Unit,Prince Albert National Park of Canada,Rescued/Recovered/Found Wildlife,Crow,1,Dead,Unknown,,,,,
2022-HWC-0951-CBCFU-0021,2022-07-01,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Wildlife Sighting,Black Bear,1,,,,,,,
2022-HWC-1053-YKLLFU-0053,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,,,Vegetation (natural),Noise - Banger or Screamer,Retreat - Run
2022-HWC-1075-CBCFU-0044,2022-07-01,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Wildlife Sighting,Black Bear,1,Unknown,,Avoidance,Unknown,Unknown,Noise - Voice,Retreat - Run
2022-HWC-1077-YKLLFU-0030,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Wildlife Sighting,Grizzly Bear,1,,,,,,,
2022-HWC-1077-YKLLFU-0031,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,,,,,
2022-HWC-1077-YKLLFU-0032,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,,,,,,,
2022-HWC-1077-YKLLFU-0033,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,,,,,,,
2022-HWC-1123-WATFU-0032,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,Retreat - Run
2022-HWC-1171-WATFU-0021,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Wildlife Sighting,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Non-impact - Chalkball,Retreat - Walk
2022-HWC-1171-WATFU-0022,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,American Dipper,1,,,,,,,
2022-HWC-1305-WATFU-0026,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,2,,,,,,,
2022-HWC-1305-WATFU-0026,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-1305-WATFU-0027,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Food Conditioned,Garbage,Impact - Rubber,Retreat - Run
2022-HWC-1305-WATFU-0028,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-1305-WATFU-0028,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Non-impact - Chalkball,Retreat - Run
2022-HWC-1305-WATFU-0029,2022-07-01,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Food Reward,Garbage,Impact - Rubber,Retreat - Run
2022-HWC-1344-NPRFU-0012,2022-07-01,Northern Prairies Field Unit,Elk Island National Park of Canada,Human Wildlife Interaction,Plains Bison,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-1358-YKLLFU-0003,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Management Intervention,Grizzly Bear,2,,,,,,,
2022-HWC-1368-YKLLFU-0078,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Banger or Screamer,Retreat - Run
2022-HWC-1392-YKLLFU-0015,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0016,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0017,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0018,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0019,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0020,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-1392-YKLLFU-0024,2022-07-01,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Walk
2022-HWC-0000-BANFU-0807,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Wolf,1,,,,,,,
2022-HWC-0000-BANFU-0807,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Wolf,1,Not Located,,Indifferent to People/Vehicles,Habituation,Unknown,,
2022-HWC-0000-BANFU-1210,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-0000-BANFU-1210,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Not Located,,Avoidance,Surprise,Vegetation (natural),,
2022-HWC-0000-BANFU-1211,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Not Located,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Not Applicable,Not Applicable
2022-HWC-0000-BANFU-1212,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Coyote,1,Unknown,Unknown,Other,Unknown,,Not Applicable,
2022-HWC-0000-BANFU-1213,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Unaware,Habituation,Vegetation (natural),Presence of Officer/Person,Retreat - Run
2022-HWC-0000-BANFU-1214,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Not Located,,Unknown,Unknown,Unknown,,
2022-HWC-0000-BANFU-1215,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,2,,,,,,,
2022-HWC-0000-BANFU-1215,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,1,Healthy,Unknown,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Presence of Vehicle,Retreat - Walk
2022-HWC-0000-BANFU-1216,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,3,,,,,,,
2022-HWC-0000-BANFU-1216,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-BANFU-1218,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,7,,,,,,,
2022-HWC-0000-BANFU-1218,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Presence of Officer/Person,Retreat - Run
2022-HWC-0000-BANFU-1219,2022-07-02,Banff Field Unit,Banff National Park of Canada,Highway Fence Intrusion,Elk,21,,,,,,,
2022-HWC-0000-BANFU-1219,2022-07-02,Banff Field Unit,Banff National Park of Canada,Highway Fence Intrusion,Elk,1,Healthy,Unknown,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Presence of Vehicle,Retreat - Walk
2022-HWC-0000-BANFU-1220,2022-07-02,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Mule Deer,1,Healthy,Entangle-Entrapment,Presence - Wildlife Exclusion Zones,Habituation,"Fruit tree, shrub or garden",Visual - Flagging or stick,Retreat - Walk
2022-HWC-0000-BANFU-1221,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Cougar,1,Healthy,Unknown,Presence - Wildlife Exclusion Zones,Defence of Food,Prey animal (natural),None,Not Applicable
2022-HWC-0000-BANFU-1221,2022-07-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Unknown deer,1,Dead,Predation,Not Applicable,Unknown,Unknown,Not Applicable,Not Applicable
2022-HWC-0000-GBOEFU-0003,2022-07-02,Eastern and Central Ontario Field Unit,Bruce Peninsula National Park of Canada,Wildlife Sighting,Black Bear,1,Healthy,Unknown,Unyielding (refuse to give ground),Habituation,Human food,Noise - Horn,Retreat - Walk
2022-HWC-0000-JASFU-0684,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,10,,,,,,,
2022-HWC-0000-JASFU-0684,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,Habituation,,Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-JASFU-1895,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-JASFU-1896,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,9,,,,,,,
2022-HWC-0000-JASFU-1896,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1897,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,8,,,,,,,
2022-HWC-0000-JASFU-1897,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1898,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,Domestic grass,,
2022-HWC-0000-JASFU-1899,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,,Presence of Vehicle,Retreat - Walk
2022-HWC-0000-JASFU-1900,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1902,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,,,,,
2022-HWC-0000-JASFU-1902,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1903,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1904,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1905,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-0000-JASFU-1906,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,30,,,,,,,
2022-HWC-0000-JASFU-1906,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-0000-JASFU-1907,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Domestic Animal,Domestic peacock,1,Dead,Management Destruction,,,,Lethal Round - Shotgun,
2022-HWC-0000-JASFU-1908,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Bighorn Sheep,1,Dead,Collision,,,,,
2022-HWC-0000-JASFU-1910,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),,
2022-HWC-0000-JASFU-1911,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,Presence of Officer/Person,Retreat - Walk
2022-HWC-0000-JASFU-1912,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2022-HWC-0000-JASFU-1913,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-0000-JASFU-1913,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),,
2022-HWC-0000-JASFU-1914,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,3,,,,,,,
2022-HWC-0000-JASFU-1914,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,,,,
2022-HWC-0000-JASFU-1915,2022-07-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),Visual - Flagging or stick,Retreat - Run
2022-HWC-0000-YKLLFU-0695,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-0000-YKLLFU-0716,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,,Presence of Vehicle,Retreat - Run
2022-HWC-0000-YKLLFU-0717,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,Non-impact - Chalkball,Retreat - Run
2022-HWC-0000-YKLLFU-0721,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,,Non-impact - Chalkball,Retreat - Walk
2022-HWC-0594-WATFU-0039,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,,Non-impact - Chalkball,Retreat - Run
2022-HWC-0908-NPRFU-0010,2022-07-02,Northern Prairies Field Unit,Prince Albert National Park of Canada,Rescued/Recovered/Found Wildlife,Ruffed Grouse,1,Dead,Unknown,,,,,
2022-HWC-0985-YKLLFU-0060,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Black Bear,2,,,Indifferent to People/Vehicles,Habituation,,,
2022-HWC-0985-YKLLFU-0061,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,,Impact - Rubber,Retreat - Run
2022-HWC-1053-YKLLFU-0055,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-1053-YKLLFU-0056,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-1053-YKLLFU-0056,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,Vegetation (natural),,
2022-HWC-1095-RMFU-0005,2022-07-02,Riding Mountain Field Unit,Riding Mountain National Park of Canada,Harassment,Western Painted Turtle,1,Unknown,,Not Applicable,Not applicable,Not applicable,,
2022-HWC-1123-WATFU-0033,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Bluff Charge,Habituation,,,
2022-HWC-1123-WATFU-0034,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,2,,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-1123-WATFU-0034,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,,,
2022-HWC-1123-WATFU-0035,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Wildlife Sighting,Grizzly Bear,1,Healthy,,Indifferent to People/Vehicles,Unknown,,,
2022-HWC-1123-WATFU-0036,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Mule Deer,1,Healthy,,Physical or Aggressive Display,Defence of Young,,,
2022-HWC-1123-WATFU-0037,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Unknown,Unknown,Noise - Voice,Retreat - Run
2022-HWC-1123-WATFU-0038,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-1123-WATFU-0038,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,Retreat - Run
2022-HWC-1123-WATFU-0039,2022-07-02,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Non-impact - Chalkball,Retreat - Run
2022-HWC-1252-NPRFU-0016,2022-07-02,Northern Prairies Field Unit,Elk Island National Park of Canada,Rescued/Recovered/Found Wildlife,Red Squirrel,1,Dead,Collision,,,,,
2022-HWC-1279-MRGFU-0054,2022-07-02,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,Other,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Paintball,Retreat - Run
2022-HWC-1328-YKLLFU-0005,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,,,,,
2022-HWC-1337-YKLLFU-0003,2022-07-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,,,,,
2022-HWC-1344-NPRFU-0011,2022-07-02,Northern Prairies Field Unit,Elk Island National Park of Canada,Human Wildlife Interaction,Plains Bison,1,,,Physical or Aggressive Display,Stress,,,
2022-HWC-0000-BANFU-0983,2022-07-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Not Located,,Unknown,Unknown,Unknown,Not Applicable,Not Applicable
